TARGET_FID_12,GEOID_D,FIPS,POC Population (Prop),Median Household Income,Ttl_Und,Unemployed Population (Prop),Stop Frequency (SEP 20),FreqAug19,FreqPandemic
152,14000US08005006200,8005006200,0.117194436,66034,587,0.210093057,577,1276,1227
153,14000US08005006300,8005006300,0.042823156,69280,536,0.239072257,416,1024,928
154,14000US08005006400,8005006400,0.188813258,61042,864,0.303690685,222,536,490
155,14000US08005006601,8005006601,0.197212912,42298,890,0.189805929,709,1924,1610
156,14000US08005082100,8005082100,0.534782609,63750,1510,0.294003115,1538,3526,3301
157,14000US08005082700,8005082700,0.330049261,86694,765,0.266179541,772,1946,1745
158,14000US08005086800,8005086800,0.55732138,59416,1961,0.326343818,1602,3602,3384
159,14000US08005086400,8005086400,0.111961722,168281,417,0.244145199,0,120,60
160,14000US08005006855,8005006855,0.269645609,125234,1151,0.270951036,424,567,708
161,14000US08005082800,8005082800,0.388446622,66069,775,0.190933728,1313,3250,2938
162,14000US08005083500,8005083500,0.484805318,62245,1360,0.278859955,714,2202,1815
163,14000US08005083300,8005083300,0.249889527,84464,858,0.227586207,384,916,842
164,14000US08005006603,8005006603,0.114724481,82586,712,0.260614934,387,1388,980
165,14000US08005006604,8005006604,0.129764265,47127,916,0.245050829,765,2296,1747
166,14000US08005006704,8005006704,0.043363995,250001,754,0.221244131,388,1516,976
167,14000US08005006705,8005006705,0.030973451,250001,404,0.267019167,120,852,345
168,14000US08005006706,8005006706,0.128489408,97435,877,0.228981723,216,536,488
169,14000US08005006707,8005006707,0.118831043,103629,895,0.216864551,162,536,366
170,14000US08005006708,8005006708,0.091438556,112467,936,0.229862475,0,0,0
171,14000US08005006709,8005006709,0.067327866,123482,1095,0.265970367,899,2714,2256
172,14000US08059009849,8059009849,0.090364629,64855,1605,0.336407462,4,16,12
173,14000US08005015100,8005015100,0.090409075,136176,715,0.299539171,851,1907,1809
174,14000US08031015300,8031015300,0.146121014,46786,998,0.270460705,507,1210,1089
175,14000US08005006808,8005006808,0.099610368,167721,1238,0.283100846,0,0,0
176,14000US08005006815,8005006815,0.286682194,66250,1036,0.28761799,415,504,687
177,14000US08005006854,8005006854,0.308283233,82059,507,0.208813839,1113,2934,2580
178,14000US08005080200,8005080200,0.388324488,82967,1247,0.230116258,1556,3273,3037
179,14000US08005081800,8005081800,0.463159759,51932,1052,0.249348187,3709,8416,7857
180,14000US08005081900,8005081900,0.457280045,42815,1137,0.217482785,1278,3004,2780
181,14000US08005080000,8005080000,0.45190409,51400,783,0.27934356,989,2160,1965
182,14000US08005080100,8005080100,0.435536803,39515,813,0.237719298,1265,2656,2504
183,14000US08031002901,8031002901,0.08172232,81779,766,0.251559934,918,2206,2028
184,14000US08035014139,8035014139,0.141751934,120714,821,0.257366771,129,360,309
185,14000US08005080900,8005080900,0.408673062,65270,1161,0.321073009,677,1520,1359
186,14000US08005080700,8005080700,0.440283051,66882,1106,0.248874887,1960,4130,3895
187,14000US08005080300,8005080300,0.416531018,68924,1245,0.260188088,2132,4598,4262
188,14000US08005080400,8005080400,0.332754964,69175,1083,0.250520472,3230,7998,6981
189,14000US08005081600,8005081600,0.283604986,73611,698,0.16917111,1880,4102,3927
190,14000US08005082500,8005082500,0.238646483,68618,492,0.27765237,680,1692,1526
191,14000US08031002902,8031002902,0.07373494,120446,632,0.178178743,985,1634,1586
192,14000US08031003001,8031003001,0.083244963,102313,1236,0.258577406,4081,8524,8026
193,14000US08031003002,8031003002,0.151228733,91033,552,0.234693878,1122,2266,2193
194,14000US08031003004,8031003004,0.131495564,65052,1709,0.310219641,1124,2256,2056
195,14000US08031003101,8031003101,0.272519954,64250,407,0.275,302,1612,1037
196,14000US08031003102,8031003102,0.213793103,43219,931,0.284448518,1883,4232,3853
197,14000US08123002004,8123002004,0.043863636,53932,753,0.224575007,0,0,0
198,14000US08123002005,8123002005,0.066231343,114188,125,0.162127108,0,0,0
199,14000US08123002019,8123002019,0.117379436,96419,889,0.222138931,0,0,0
200,14000US08123002018,8123002018,0.105908584,120789,352,0.267680608,0,0,0
201,14000US08123002006,8123002006,0.072033898,132734,43,0.209756098,0,0,0
202,14000US08005081000,8005081000,0.576476702,36737,1241,0.290224509,3419,7916,7361
203,14000US08005082400,8005082400,0.473723168,62461,924,0.274918179,1583,4068,3617
204,14000US08005084500,8005084500,0.348868176,62292,579,0.247013652,396,1054,923
205,14000US08059009852,8059009852,0.053717915,88294,815,0.249311716,428,1206,1123
206,14000US08059009850,8059009850,0.072954454,129231,655,0.306504445,12,48,36
207,14000US08059011402,8059011402,0.226622662,41990,1080,0.280519481,1167,3148,2773
208,14000US08059012059,8059012059,0.048996458,93884,568,0.219389726,0,176,88
209,14000US08035013911,8035013911,0.051570681,141653,1412,0.259702042,0,0,0
210,14000US08035014009,8035014009,0.140841584,105474,973,0.327940681,0,186,93
211,14000US08035014012,8035014012,0.112197448,112708,1254,0.208825978,0,0,0
212,14000US08035014013,8035014013,0.056745328,144756,1332,0.2654444,0,0,0
213,14000US08035014125,8035014125,0.092525937,126480,826,0.214768591,856,2900,2306
214,14000US08035014137,8035014137,0.16948811,160599,1766,0.261513401,43,154,120
215,14000US08035014131,8035014131,0.092726499,85115,866,0.208674699,1620,4260,3750
216,14000US08035014135,8035014135,0.076213592,179000,861,0.299062174,0,184,92
217,14000US08035014204,8035014204,0.083134684,117083,502,0.195406773,0,0,0
218,14000US08035014406,8035014406,0.115692016,114265,2493,0.2742876,0,0,0
219,14000US08035014203,8035014203,0.06379073,135463,1042,0.205360662,0,0,0
220,14000US08035014136,8035014136,0.146268015,102313,1726,0.256083086,258,1050,783
221,14000US08035014128,8035014128,0.10941578,108255,1011,0.259964001,129,324,291
222,14000US08035014404,8035014404,0.07057921,126767,516,0.22270177,0,0,0
223,14000US08035014403,8035014403,0.050697757,122969,1259,0.271804836,0,0,0
224,14000US08035014603,8035014603,0.061894737,96379,1284,0.257572718,0,0,0
225,14000US08035014505,8035014505,0.069643513,95819,1165,0.255426442,0,0,0
226,14000US08035014405,8035014405,0.092676604,131944,1288,0.234565653,0,0,0
227,14000US08005081100,8005081100,0.601605136,41673,1413,0.293457944,5814,13338,12475
228,14000US08005082000,8005082000,0.547092744,46278,705,0.221350078,1152,3910,3118
229,14000US08005082200,8005082200,0.496095544,54602,1630,0.315952704,1416,3340,3086
230,14000US08005081400,8005081400,0.301699717,69559,761,0.217056475,2305,6072,5338
231,14000US08005084100,8005084100,0.345554336,72538,953,0.266275496,936,2354,2113
232,14000US08005084200,8005084200,0.290356671,73846,742,0.255333792,750,2130,1815
233,14000US08005084300,8005084300,0.282713596,77368,845,0.300925926,339,790,734
234,14000US08005084400,8005084400,0.354700855,82686,326,0.146253926,78,204,180
235,14000US08005085700,8005085700,0.224037601,69595,719,0.200950252,234,706,587
236,14000US08005005632,8005005632,0.065275708,119033,743,0.274879763,520,2116,1578
237,14000US08005081500,8005081500,0.065748709,36471,350,0.120481928,645,1464,1376
238,14000US08019014800,8019014800,0.109778044,57266,408,0.291428571,0,0,0
239,14000US08019014700,8019014700,0.043019163,82978,1179,0.26560036,0,0,0
240,14000US08019014900,8019014900,0.036951501,58357,561,0.243383948,0,0,0
241,14000US08005084800,8005084800,0.183094472,91667,711,0.265496639,0,0,0
242,14000US08005085800,8005085800,0.20466174,82589,331,0.238300936,152,416,360
243,14000US08123002103,8123002103,0.054205607,99122,1650,0.211565585,0,0,0
244,14000US08005006856,8005006856,0.309922822,77075,2312,0.323764179,2814,3591,4667
