TARGET_FID_12,GEOID_D,FIPS,Proportion of POC,Median Household Income,Proportion Unemployed,Total Population,Proportion Male,Proportion Female,Proportion Did Not Work,Proportion of Renters,Average Household Size,FREQSEP20D,FREQAUG19D,FREQPAND_1,PCT_Change_SEP,PCT_Change_AUG
55,14000US08013013004,8013013004,0.097657353,131406,0.338810642,3543,0.485746542,0.514253458,0.192879499,0.101059495,2.89,9,11,9,0,22.22
56,14000US08013013005,8013013005,0.095517774,86058,0.299009901,3235,0.497372488,0.502627512,0.252673267,0.315057915,2.49,14,18,15,-6.67,20
57,14000US08013013006,8013013006,0.094620641,98611,0.341207934,5707,0.472927983,0.527072017,0.182973033,0.29055912,2.6,7,8,7,0,14.29
58,14000US08013013205,8013013205,0.03765308,110417,0.29592984,5471,0.506488759,0.493511241,0.342028334,0.154252763,2.63,5,6,5,0,20
59,14000US08013013207,8013013207,0.063989409,86635,0.335898116,4532,0.495366284,0.504633716,0.252586893,0.348989623,2.47,1,1,1,0,0
60,14000US08031003701,8031003701,0.156002265,67946,0.27015873,3532,0.454699887,0.545300113,0.185079365,0.62962963,1.8,29,35,29,0,20.69
61,14000US08031003702,8031003702,0.130857143,53354,0.300609756,5250,0.545142857,0.454857143,0.141260163,0.681554103,1.86,15,18,15,0,20
62,14000US08031003703,8031003703,0.151754663,62680,0.260480115,3163,0.483085678,0.516914322,0.142959513,0.58031401,1.91,22,22,19,15.79,15.79
63,14000US08031003800,8031003800,0.117327229,107574,0.228598015,6989,0.47403062,0.52596938,0.339950372,0.483054893,1.67,26,37,30,-13.33,23.33
64,14000US08031003901,8031003901,0.064941176,126964,0.197730956,4250,0.510352941,0.489647059,0.345488925,0.204618938,1.96,16,19,15,6.67,26.67
65,14000US08031004102,8031004102,0.585741811,51958,0.254346746,5190,0.508092486,0.491907514,0.394187779,0.445972495,3.13,24,28,24,0,16.67
66,14000US08031004103,8031004103,0.323184153,115977,0.265882353,5452,0.457630227,0.542369773,0.233882353,0.074783402,2.49,14,20,16,-12.5,25
67,14000US08031004104,8031004104,0.438185654,91337,0.24805397,4740,0.488607595,0.511392405,0.233783083,0.141955836,2.49,21,30,24,-12.5,25
68,14000US08005082300,8005082300,0.261263467,61078,0.22804164,4084,0.488981391,0.511018609,0.252765127,0.403050109,2.97,4,5,4,0,25
69,14000US08005080800,8005080800,0.532646979,55219,0.236572366,3691,0.526686535,0.473313465,0.253382534,0.565449688,3.28,5,5,5,0,0
70,14000US08005006502,8005006502,0.060022334,65816,0.313273153,3582,0.456448911,0.543551089,0.229354731,0.427690199,2.46,1,5,3,-66.67,66.67
71,14000US08005082600,8005082600,0.680312616,58545,0.186063218,5374,0.511723111,0.488276889,0.234434866,0.631205674,2.38,14,17,15,-6.67,13.33
72,14000US08005005628,8005005628,0.038831615,86856,0.248984826,5820,0.503436426,0.496563574,0.282325283,0.185217774,2.51,2,3,2,0,50
73,14000US08005006711,8005006711,0.121856867,123162,0.295783318,4136,0.501934236,0.498065764,0.262850108,0.06512605,2.89,2,2,2,0,0
74,14000US08001009603,8001009603,0.18510158,46451,0.231712386,6645,0.545974417,0.454025583,0.263300083,0.532194481,2.86,4,9,4,0,125
75,14000US08001009604,8001009604,0.219451932,51555,0.1854903,4452,0.477538185,0.522461815,0.382141908,0.538868324,2.3,3,8,4,-25,100
